Demographic,2001,2007,2010,2013,2016
0,-0.2,-0.2,-0.7,-0.7,-0.5
0.1,-0.1,-0.2,-0.7,-0.7,-0.5
0.2,0.2,0.1,-0.5,-0.5,-0.3
0.3,1.1,0.9,0,0,0.1
0.4,2.8,2.5,1.2,1.1,1.2
0.5,5.6,5.3,3.3,3.2,3.1
0.6,10.1,9.7,7,6.9,6.3
0.7,17.4,16.6,13.3,13,11.7
0.8,30.2,28.5,25.6,25,22.9
0.9,69.8,71.5,74.4,75,77.1
0.95,115.4,120.8,121.8,,130.2
0.99,327,338,341,355,386
